,image_description,image_link,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_imppar,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_vmag,Notes,planet_category,planet_mass_description,planet_color,planet_color_short,planet_spin,planet_spin_short,stellar_planet_ratio,roche_limit,tidal_locked,stellar_color,stellar_mass_description,mass_prompt,ratio_prompt,size_text_prompt,75_tokens,  
73,"This artist conception illustrates Kepler-22b, a planet known to comfortably circle in the habitable zone of a sun-like star. It is the first planet that NASA Kepler mission has confirmed to orbit in a star habitable zone.",https://images-assets.nasa.gov/image/PIA14883/PIA14883~thumb.jpg,Kepler-22 b,Kepler-22,1,1,0,289.8638611,2.1,9.1,5.2,279,0.768,0,G5 V,5596,0.87,0.86,-0.19,11.751,0,super-earth,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,9.450549212,1.205245456,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 9 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and an unknown size compared to the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 9 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 9.450549211583851 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This nan super-earth planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a nan, super-earth planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
74,"The tightly packed system, named Kepler-444, is home to five small planets in very compact orbits. The planets were detected from the dimming that occurs when they transit the disk of their parent star, as shown in this artist conception.",https://images-assets.nasa.gov/image/PIA18910/PIA18910~thumb.jpg,Kepler-444 b,Kepler-444,3,5,0,3.600105286,0.403,0.0374,3.14,938,0.4,0,K,5046,0.75,0.76,-0.425,8.87,0,terrestrial,tiny,has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet,is white and pale yellow in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,2032.085547,1.385658629,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,light orange,small,"A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and 2032.0855470090798 the size of it's planet.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This tiny terrestrial planet has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and light orange.","A light orange, small star with a tiny, terrestrial planet. The planet is white and pale yellow in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
75,0,https://images-assets.nasa.gov/image/PIA18910/PIA18910~thumb.jpg,Kepler-444 c,Kepler-444,3,5,0,4.545884132,0.497,0.0793,3.55,868,0.42,0,K,5046,0.75,0.76,-0.425,8.87,0,terrestrial,very small,has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet,is white and pale yellow in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,958.3858491,1.330169766,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,light orange,small,"A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and 958.3858491209536 the size of it's planet.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This very small terrestrial planet has white carbon dioxide molecules and pale yellow sulfur compounds are likely on this planet. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and light orange.","A light orange, small star with a very small, terrestrial planet. The planet is white and pale yellow in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
76,0,https://images-assets.nasa.gov/image/PIA18910/PIA18910~thumb.jpg,Kepler-444 d,Kepler-444,3,5,0,6.18939209,0.53,0.2,7.9,783,0.53,0,K,5046,0.75,0.76,-0.425,8.87,0,terrestrial,small,has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white,is a varying shade of blue and/or white,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,379.9999896,1.042095658,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,light orange,small,"A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and 379.99998956918733 the size of it's planet.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This small terrestrial planet has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and light orange.","A light orange, small star with a small, terrestrial planet. The planet is a varying shade of blue and/or white, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
77,0,https://images-assets.nasa.gov/image/PIA18910/PIA18910~thumb.jpg,Kepler-444 e,Kepler-444,3,5,0,7.74349308,0.546,0.1,4.8,727,0.29,0,K,5046,0.75,0.76,-0.425,8.87,0,terrestrial,very small,has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white,is a varying shade of blue and/or white,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,759.9999791,1.352594813,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,light orange,small,"A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and 759.9999791383747 the size of it's planet.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This very small terrestrial planet has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and light orange.","A light orange, small star with a very small, terrestrial planet. The planet is a varying shade of blue and/or white, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
78,0,https://images-assets.nasa.gov/image/PIA18910/PIA18910~thumb.jpg,Kepler-444 f,Kepler-444,3,5,0,9.740486145,0.741,0.332,4.48,673,0.79,0,K,5046,0.75,0.76,-0.425,8.87,0,terrestrial,small,has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white,is a varying shade of blue and/or white,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,228.9156685,1.23049709,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,light orange,small,"A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and 228.91566849080226 the size of it's planet.","A solar system made up of 5 planet(s), 3 star(s), and 0 moon(s). This small terrestrial planet has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and light orange.","A light orange, small star with a small, terrestrial planet. The planet is a varying shade of blue and/or white, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
79,"Magnetic loops carrying gas and dust above disks of planet-forming material circling stars are shown in this artist conception, which NASA Spitzer Space Telescope detects as infrared light.",https://images-assets.nasa.gov/image/PIA17849/PIA17849~thumb.jpg,0,0,1,1,0,0,0,0,0,0,0,0,G2 V,5772,1,1,1,4.81,"Could use any star information, but selected our star. ",unknown planet size,,has an unknown planet color,ia an unknown planet color,rotates around its star,rotates around its star,0,0,0,yellow,medium small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, has an unknown planet color and rotates around its star. This planet has an unknown spin. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This unknown planet size planet is an unknown size compared to the size of earth, has an unknown planet color and rotates around its star. This planet has an unknown spin. The planet's star is yellow and 0.0 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This nan unknown planet size planet has an unknown planet color. This planet rotates around its star. The planet's star is has an unknown spin and yellow.","A yellow, medium small star with a nan, unknown planet size planet. The planet ia an unknown planet color, rotates around its star, and 0.0",  
80,"The artist concept depicts Kepler-69c, a super-Earth-size planet in the habitable zone of a star like our sun, located about 2,700 light-years from Earth in the constellation Cygnus.",https://images-assets.nasa.gov/image/PIA17003/PIA17003~thumb.jpg,Kepler-69 b,Kepler-69,1,2,0,13.72234058,2.24,5.65,2.76,779,0.15,0,G4 V,5638,0.93,0.81,-0.097,13.866,0,super-earth,,has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white,is a varying shade of blue and/or white,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,14.33628299,1.477170934,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 5 times the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and an unknown size compared to the size of the sun.","A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 5 times the size of earth, has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 14.336282986053822 the size of it's planet.","A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This nan super-earth planet has carbon dioxide and hydrocarbons are dominant in this planet which could both come in varying shades of blue and white. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a nan, super-earth planet. The planet is a varying shade of blue and/or white, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
81,0,https://images-assets.nasa.gov/image/PIA17003/PIA17003~thumb.jpg,Kepler-69 c,Kepler-69,1,2,0,242.4613037,1.71,3.57,3.92,299,0.12,0,G4 V,5638,0.93,0.81,-0.097,13.866,0,super-earth,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,22.68907612,1.314131834,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 3 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and an unknown size compared to the size of the sun.","A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This super-earth planet is 3 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 22.689076121310315 the size of it's planet.","A solar system made up of 2 planet(s), 1 star(s), and 0 moon(s). This nan super-earth planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a nan, super-earth planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
82,"The artist concept depicts Kepler-62e, a super-Earth-size planet in the habitable zone of a star smaller and cooler than the sun, located about 1,200 light-years from Earth in the constellation Lyra.",https://images-assets.nasa.gov/image/PIA17004/PIA17004~thumb.jpg,Kepler-62 e,Kepler-62,1,5,0,122.3873978,0.427,36,270,0.06,0.0232,0,K2 V,4925,0.64,0.69,-0.678,13.965,0,gas-giant,large,"has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue",is pale yellow in color with slight traces of blue,"has stripes of thick clouds of various coloring defined by clear, sharp edges","has clear, sharp-edge stripes of thick clouds",1.91666666,0.143983901,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,light orange,small,"A solar system made up of 5 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 36 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 36 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is light orange and 1.9166666600439284 the size of it's planet.","A solar system made up of 5 planet(s), 1 star(s), and 0 moon(s). This large gas-giant planet has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and light orange.","A light orange, small star with a large, gas-giant planet. The planet is pale yellow in color with slight traces of blue, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
83,This is an artist concept of a hypothetical 10-million-year-old star system. The bright blur at the center is a star much like our sun. The other orb in the image is a gas-giant planet like Jupiter.,https://images-assets.nasa.gov/image/PIA09117/PIA09117~thumb.jpg,0,0,1,1,0,4333,11.1947,317.89,1.33,122,0,778.479,G2 V,5772,1,1,1,4.81,Jupiter's information and our sun's information.,gas-giant,massive,most likely overrun with ammonia clouds characterized by their variety of yellow coloring,a shade of yellow in color,has stripes of thick clouds of various coloring defined by softened edges,has soft-edged stripes of thick clouds,0.314574209,2.066763193,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 317 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by softened edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 317 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by softened edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 0.31457420929245766 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet most likely overrun with ammonia clouds characterized by their variety of yellow coloring. This planet has stripes of thick clouds of various coloring defined by softened edges. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a massive, gas-giant planet. The planet a shade of yellow in color, has soft-edged stripes of thick clouds, and spins around its orbit so both sides get heat from the sun",  
84,"This artist conception shows a binary-star, or two-star, system, called HD 113766, where astronomers suspect a rocky Earth-like planet is forming around one of the stars.",https://images-assets.nasa.gov/image/PIA09931/PIA09931~thumb.jpg,0,HD 113766,1,1,0,365,1,1,5.51,279,0,149.598,F3,6750,1.2,1.2,4.4,7.56,Earth information plus data about the star from NASA,terrestrial,medium small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,120.0000048,1.338949815,spins around its orbit so both sides get heat from the sun,yellow white,medium,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow white and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow white and 120.00000476837158 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This medium small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is spins around its orbit so both sides get heat from the sun and yellow white.","A yellow white, medium star with a medium small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and spins around its orbit so both sides get heat from the sun",  
85,"This artist concept, based on data from NASA Kepler mission and ground-based telescopes, depicts an itsy bitsy planetary system -- so compact, in fact, that it more like Jupiter and its moons than a star and its planets.",https://images-assets.nasa.gov/image/PIA15257/PIA15257~thumb.jpg,0,0,1,3,0,1.761999965,0.2859,0.0149,0,0,0,0.0028,M,2700,0.7,0.2,0,0,Information on star taken from image color of the star and closeness of Jupiterâ€™s moons.,terrestrial,tiny,"is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red",is covered in lava and a shade of deep red to silvery gray in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,1342.281914,0.85611599,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is an unknown size compared to the size of earth, is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 1342.2819140966799 the size of it's planet.","A solar system made up of 3 planet(s), 1 star(s), and 0 moon(s). This tiny terrestrial planet is likely extremely hot and possibly covered in lava, primary composed of silicate minerals and oxides ranging in a variety of colors from silvery gray to a rich deep red. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a tiny, terrestrial planet. The planet is covered in lava and a shade of deep red to silvery gray in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
86,"This artist concept, based on spectral observations from NASA Hubble Space Telescope and Spitzer Space Telescope, shows a cloudy Jupiter-like planet that orbits very close to its fiery hot star.",https://images-assets.nasa.gov/image/PIA09200/PIA09200~thumb.jpg,0,0,1,1,0,4333,11.1947,317.89,1.33,122,0,57.909,G2 V,5772,1,1,1,4.81,Impact parameter might be closer more like mercury and the sun distance. ,gas-giant,massive,most likely overrun with ammonia clouds characterized by their variety of yellow coloring,a shade of yellow in color,has stripes of thick clouds of various coloring defined by softened edges,has soft-edged stripes of thick clouds,0.314574209,2.066763193,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 317 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by softened edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 317 times the size of earth, most likely overrun with ammonia clouds characterized by their variety of yellow coloring and has stripes of thick clouds of various coloring defined by softened edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 0.31457420929245766 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet most likely overrun with ammonia clouds characterized by their variety of yellow coloring. This planet has stripes of thick clouds of various coloring defined by softened edges. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a massive, gas-giant planet. The planet a shade of yellow in color, has soft-edged stripes of thick clouds, and spins around its orbit so both sides get heat from the sun",  
